1165	1	27
3704	0	3
23108	0	0
8726	0	3
10578	1	41
20559	1	178
3235	0	3
15164	1	165
6479	1	46
16268	1	169
9648	0	4
13761	0	15
1597	1	262
13791	1	43
14421	1	25
19217	1	24
3263	1	111
17670	0	17
21469	0	3
20765	0	13
19840	1	269
13525	1	168
6252	1	25
18083	0	16
19174	0	8
21361	1	65
3810	1	64
10635	0	3
20878	0	3
16853	0	16
6496	0	6
9705	0	12
21424	1	120
19648	0	3
23796	1	243
8240	0	3
23523	1	281
17535	0	11
6127	0	11
7566	1	23
3514	0	0
5091	1	163
12045	0	15
19357	0	12
15066	1	49
19613	1	23
6710	1	51
7979	1	22
20861	0	3
19631	0	3
20501	1	48
8106	1	47
22740	0	15
23296	1	35
22377	1	143
22557	0	8
7549	1	23
7590	1	86
10357	1	22
21179	1	38
19040	0	3
54	0	3
23849	0	14
6176	0	2
13158	1	35
15345	1	46
16445	1	45
9019	1	38
8280	0	11
23727	0	14
5191	1	323
14006	0	1
23619	0	19
15228	0	11
13885	1	78
22723	0	15
6323	1	25
19701	1	23
1668	0	10
23571	1	54
21760	1	125
19498	1	75
17806	0	15
19719	0	3
20275	1	23
13515	0	6
6911	1	41
222	1	115
12886	1	74
10854	0	3
13989	0	1
8681	0	8
16542	1	66
1533	0	4
3686	1	55
142	0	3
17826	1	133
11626	1	295
12550	1	35
23254	1	45
9675	1	161
6386	0	13
16562	1	184
21082	1	111
4743	1	71
18869	1	114
10512	1	55
21737	0	2
3161	1	309
5042	0	3
14648	1	108
14094	0	1
20272	1	39
862	1	144
2795	1	46
17203	0	13
17904	1	86
10356	1	68
5916	0	12
6738	0	8
9873	0	6
125	0	3
332	1	140
12646	1	193
7627	1	110
5147	0	3
5922	1	84
6951	0	3
18744	1	119
14077	0	1
6843	0	8
5466	1	126
3540	1	126
15408	1	56
9116	0	8
5721	0	3
12091	1	55
15442	0	16
16520	1	23
17186	0	13
19399	0	10
19508	1	55
6134	1	227
2730	1	54
2430	1	45
14252	1	75
17660	0	8
16139	1	269
5204	0	11
13295	1	37
5130	0	3
20801	1	314
9121	0	3
21573	0	15
16090	1	24
22899	0	15
13138	0	0
6934	0	3
14060	0	1
14169	1	46
16830	1	79
14802	1	137
14686	1	388
17691	0	0
20982	0	15
5235	0	3
20150	1	162
14466	1	296
23026	1	97
18310	1	132
14608	0	15
5113	0	3
9313	1	53
4229	1	322
11987	1	41
19447	0	8
11091	0	10
14012	1	194
7548	1	35
9461	1	23
20069	0	0
17856	0	3
9030	1	169
2302	1	93
6257	1	39
11544	0	11
12635	0	3
20135	1	254
10635	1	41
15461	0	3
20616	1	178
3848	1	23
21026	0	11
23434	1	23
553	1	23
4140	1	42
5096	0	3
23752	0	12
5814	0	9
15113	0	2
18248	0	0
3879	0	15
12700	0	1
12618	0	3
23417	1	23
8833	1	79
10029	1	122
12436	1	46
8340	1	25
22191	1	193
24183	1	37
16018	0	3
12683	0	1
539	1	162
3276	0	13
454	1	55
14051	1	114
20893	1	268
15263	1	86
8476	1	68
3954	0	3
14753	1	23
21145	0	3
21701	1	23
1261	1	132
8649	0	4
17106	0	11
8467	0	1
4250	0	0
21023	0	3
21097	0	11
22949	0	3
19440	1	34
9684	1	220
18215	1	235
4395	1	110
6974	1	134
1955	1	51
11267	0	10
5364	1	72
19678	1	163
21611	1	65
7363	0	3
1833	1	51
12261	1	163
21128	0	3
2142	0	3
12176	1	56
1364	1	51
10437	1	24
14550	1	35
1694	1	24
21080	0	11
4233	0	0
15493	1	30
2020	0	3
15472	0	9
22558	1	32
24125	1	28
19855	1	269
20672	1	64
1543	0	13
7633	0	0
10664	0	8
2125	0	3
6996	1	116
4216	0	0
14459	0	0
2003	0	3
12212	1	43
14751	0	19
2311	1	176
1895	0	8
20315	1	23
9096	1	102
4030	1	58
17813	1	116
19437	1	194
12494	1	24
3882	0	15
16664	1	64
10947	0	17
12860	0	5
2577	0	3
14746	0	3
6508	0	11
10499	0	11
2108	0	3
8134	0	2
4253	1	300
16404	1	87
16851	0	16
24077	1	244
23977	0	14
7056	1	41
12599	1	24
4543	1	35
22138	1	34
23855	0	14
287	0	3
843	1	23
16956	0	16
24082	0	14
19530	1	75
24042	0	12
3049	1	91
12917	1	70
22860	1	61
13317	0	0
23273	0	3
11104	0	3
19669	1	51
3787	0	8
8917	0	3
12908	0	3
11531	1	64
22856	1	241
15536	1	80
7687	0	3
17930	0	3
12439	0	3
270	0	3
22114	1	105
4926	1	22
22965	0	15
1748	1	24
624	1	106
5292	0	3
5848	1	23
7218	0	3
10133	1	134
19734	0	3
4582	1	161
6174	0	2
15588	1	93
21552	0	8
13300	0	0
7170	0	11
18504	0	3
19265	0	3
23256	0	3
844	0	3
13193	1	93
1488	0	1
6941	1	93
14900	0	5
10158	1	100
18035	0	3
17961	1	41
18591	1	23
17043	1	210
5129	1	114
8792	0	8
24239	0	11
5323	1	41
18469	1	23
12422	0	3
17209	1	59
6835	1	22
7501	0	12
1358	0	11
17444	0	3
5831	1	23
14109	0	1
11038	1	135
3984	1	53
4712	1	127
23388	1	50
5486	1	131
16979	1	249
21683	1	35
5380	0	3
17896	0	3
15249	1	32
5793	1	227
2237	0	15
6963	1	75
7997	1	38
10367	1	248
14719	1	55
8115	1	44
21046	1	124
5814	1	23
9805	1	23
17080	1	79
22523	0	11
13986	1	144
13618	1	25
14092	0	1
19305	0	11
9946	1	91
532	0	0
7554	0	8
12993	0	19
17299	1	151
4589	1	45
20214	0	0
21544	1	24
8548	1	161
2737	1	64
5472	1	48
3032	0	0
3150	0	6
3259	1	51
9176	0	5
6963	0	8
11641	0	19
18223	1	38
21163	1	78
1411	0	4
2722	1	145
13893	1	44
16100	1	143
21215	0	15
1623	1	163
13959	0	16
19837	1	45
6159	1	38
21868	1	96
174	1	102
956	1	96
9159	0	5
22611	0	11
11624	0	19
620	0	0
20058	0	3
24267	0	14
8148	1	123
8898	1	24
13985	1	217
19528	1	26
10582	1	105
16533	0	8
3782	1	75
725	0	0
10968	0	0
22594	0	11
2999	1	50
12131	1	144
16124	0	11
603	0	0
23176	0	1
9916	0	9
14061	1	314
7551	0	0
22472	0	11
8299	1	34
22066	1	145
4108	0	3
2182	0	3
708	0	0
16155	0	3
3986	0	3
17438	0	9
18220	0	3
15329	0	2
22868	1	59
14704	1	75
7508	0	3
7447	1	26
3469	0	11
687	1	55
3802	1	318
13473	1	25
16729	0	3
17864	1	39
22169	1	64
22873	0	8
3000	0	11
2165	0	3
653	1	79
17321	0	4
22342	0	0
14286	0	11
3969	0	3
16283	1	102
17347	1	47
19308	0	11
4081	1	157
7071	1	102
2837	1	122
6781	1	161
2270	0	3
16712	0	3
18969	1	44
18113	0	15
4074	0	3
14317	0	3
14115	1	132
24139	1	71
20335	0	12
6809	1	44
20295	0	10
18122	0	15
15492	1	71
15447	1	23
3257	0	2
2553	0	12
14422	0	3
10758	1	78
6766	0	1
3845	0	18
23313	0	3
20428	1	310
23118	1	246
432	0	3
5205	1	24
8081	1	133
8562	0	11
14405	0	3
12479	0	3
3567	1	58
12375	0	13
17575	0	11
4864	1	137
7258	1	49
8956	1	146
19199	1	146
19379	0	11
14979	0	3
16384	0	20
23296	0	3
12679	1	32
5919	0	15
12605	1	24
22193	1	261
2341	0	3
16610	1	40
4863	1	234
19879	0	3
13761	1	163
2890	1	94
711	0	0
13158	0	3
350	1	41
8163	1	50
19984	0	3
20540	1	23
2327	1	145
10449	1	35
11167	1	41
14748	1	162
17289	1	40
8411	1	55
6911	0	9
10456	1	122
4398	0	3
478	1	94
17776	0	1
55	1	24
19689	1	46
2103	0	8
13704	1	110
4717	1	69
571	1	170
9034	1	75
3907	0	8
4729	0	4
7973	1	47
15241	0	0
21385	1	51
18637	1	55
6894	0	9
9390	0	18
390	0	3
4381	0	3
14229	0	11
17759	0	1
9703	0	12
6812	0	11
24172	0	2
9403	0	3
1906	1	143
9321	1	51
18516	0	8
21248	1	132
5020	1	196
9977	0	3
4966	1	102
12083	1	93
16038	1	231
9714	1	136
16488	1	123
21062	1	144
5200	1	61
6978	1	64
11599	0	0
5286	0	4
21555	0	3
22717	1	86
6645	1	110
5687	1	68
19803	0	16
4165	0	3
19800	1	99
18799	0	17
24121	1	72
12934	0	0
19017	1	74
1540	1	81
5994	1	164
9960	0	3
6087	1	55
22129	0	3
2543	0	3
5574	0	11
2201	1	280
2504	1	206
11882	0	9
7665	0	8
6152	1	23
11295	0	3
7789	1	322
6448	0	20
7196	0	8
7149	1	93
22521	0	0
14465	0	11
6074	0	3
2235	0	15
16243	1	41
16317	0	3
8695	1	23
8900	0	3
19604	0	13
1278	1	23
21230	0	4
10392	1	59
19813	1	63
3605	1	41
9943	0	3
715	1	101
5857	0	20
4335	0	1
11687	0	0
5557	0	11
21930	0	0
9474	0	3
19717	0	3
10579	0	11
17891	0	8
21040	1	68
11278	0	3
6431	0	20
1158	1	64
21682	0	4
6131	0	11
14448	0	11
4966	0	11
4131	0	3
6057	0	3
2627	1	243
20291	0	3
18465	0	8
16292	0	13
7270	1	217
11724	1	300
22764	1	181
19835	1	34
4318	0	1
11670	0	0
5540	0	11
13001	1	55
7379	1	37
16353	1	66
9457	0	3
17702	1	307
7427	0	13
4536	0	12
5941	1	75
13957	0	16
8227	0	3
13000	1	24
16257	0	6
15327	1	42
632	0	5
23845	1	102
22383	0	10
20274	0	3
19344	0	12
14979	1	41
16275	0	13
21977	1	347
12732	0	11
17979	0	8
2971	1	23
4301	0	1
7084	1	34
2088	0	4
19519	1	86
8210	0	3
8766	1	23
10316	1	93
19737	1	97
20257	0	3
23575	0	8
7661	1	143
11119	0	11
21362	0	11
21507	1	110
16962	0	3
24351	1	150
7619	0	3
15150	1	70
23988	0	7
20553	0	0
12354	0	6
479	1	163
12815	0	16
16592	1	202
10202	0	5
1302	1	220
9841	0	0
16371	0	3
13128	0	10
18332	0	13
14546	1	58
6354	1	23
18255	1	262
12746	0	3
21345	0	11
17211	1	261
6276	0	3
1994	0	1
14550	0	3
18437	0	13
4234	1	102
4055	0	16
8637	1	219
14952	1	128
22667	1	45
10285	0	10
11216	1	51
4382	1	72
6440	1	170
21450	0	11
7772	0	4
8594	0	0
538	0	11
2390	0	3
355	0	4
10612	1	66
18015	0	4
1438	1	212
10698	0	9
13285	1	23
1086	1	41
8739	1	110
10516	0	6
16468	1	43
10142	1	35
3518	1	110
1977	0	1
5103	1	38
